node_id,node_name,node_label,node_group,abstraction_level,scope,lifecycle_type,unique_key,key_properties,inspection_focus,health_fields,required_relation_summary,import_label
RT-024,恢复动作,RecoveryAction,快恢,L7 快恢层,Global/ResourceType,配置对象,action_id,"action_id, action_name, action_category, target_resource_type, risk_level, requires_approval, rollback_action_id",动作覆盖率、风险分级合规、审批触发率,"enabled_status, last_executed_at",EXECUTES_ON ResourceType; ROLLBACK_OF RecoveryAction; SUGGESTED_BY InspectionFinding,:ResourceType:RecoveryAction
RT-025,恢复动作执行,RecoveryExecution,快恢,L7 快恢层,ResourceInstance,事件对象,execution_id,"execution_id, action_id, target_resource_id, status, initiated_by, initiated_at",执行成功率、平均耗时、回滚率、审批合规,"status, duration_seconds",TARGETS ResourceInstance; TRIGGERED_BY InspectionFinding; REQUIRES_APPROVAL ApprovalRequest; ROLLED_BACK_BY RecoveryExecution,:ResourceType:RecoveryExecution
RT-026,审批请求,ApprovalRequest,快恢,L7 快恢层,RecoveryExecution,事件对象,approval_id,"approval_id, execution_id, approver_id, approval_status, requested_at",审批时效、批准率、过期率、超时率,"approval_status, time_to_approve",APPROVES RecoveryExecution,:ResourceType:ApprovalRequest
